IP地址,端口号,TLS,网络延迟,下载速度,出站IP,IP类型,数据中心,源IP位置,地区,城市,ASN号码,ASN组织
"63.178.166.91","443","true","8 ms","9.67 MB/s","63.178.166.91","IPv4","FRA","DE","Europe","Frankfurt","AS16509","Amazon.com, Inc."
"75.2.79.84","443","true","7 ms","9.43 MB/s","35.85.29.108","IPv4","PDX","US","North America","Portland","AS16509","Amazon.com, Inc."
"15.197.162.87","443","true","5 ms","9.19 MB/s","98.82.36.110","IPv4","IAD","US","North America","Ashburn","AS14618","Amazon.com, Inc."
"44.247.78.252","5010","true","9 ms","9.13 MB/s","2600:1f14:1a3b:7b00:7053:7279:43b5:e886","IPv6","PDX","US","North America","Portland","AS16509","Amazon.com, Inc."
"34.245.69.90","443","true","4 ms","8.89 MB/s","34.245.69.90","IPv4","DUB","IE","Europe","Dublin","AS16509","Amazon.com, Inc."
"54.202.144.146","443","true","10 ms","8.88 MB/s","2600:1f14:1a56:1600:ad33:f91:b78e:7d0d","IPv6","PDX","US","North America","Portland","AS16509","Amazon.com, Inc."
"34.248.75.100","443","true","4 ms","8.71 MB/s","34.248.75.100","IPv4","DUB","IE","Europe","Dublin","AS16509","Amazon.com, Inc."
"166.117.33.104","443","true","14 ms","8.63 MB/s","18.208.183.108","IPv4","IAD","US","North America","Ashburn","AS14618","Amazon.com, Inc."
"52.56.168.34","443","true","7 ms","8.61 MB/s","2a05:d01c:771:d600:102d:8d96:91d9:6c57","IPv6","LHR","GB","Europe","London","AS16509","Amazon.com, Inc."
"52.76.194.79","443","true","10 ms","8.53 MB/s","52.76.194.79","IPv4","SIN","SG","Asia Pacific","Singapore","AS16509","Amazon.com, Inc."
"16.145.218.182","443","true","8 ms","8.51 MB/s","2600:1f14:1fb:fb00:5a9b:b2cd:603a:59af","IPv6","PDX","US","North America","Portland","AS16509","Amazon.com, Inc."
"57.180.27.78","443","true","1 ms","8.48 MB/s","2406:da14:1f13:2e00:61cf:c18c:bc9e:9c1","IPv6","NRT","JP","Asia Pacific","Tokyo","AS16509","Amazon.com, Inc."
"52.196.133.194","443","true","4 ms","8.35 MB/s","2406:da14:af3:6900:5584:d049:1eaf:32af","IPv6","NRT","JP","Asia Pacific","Tokyo","AS16509","Amazon.com, Inc."
"184.169.181.217","443","true","4 ms","8.11 MB/s","184.169.181.217","IPv4","SJC","US","North America","San Jose","AS16509","Amazon.com, Inc."
"52.52.166.93","8443","true","9 ms","8.09 MB/s","52.52.166.93","IPv4","SJC","US","North America","San Jose","AS16509","Amazon.com, Inc."
"13.215.203.115","443","true","20 ms","7.37 MB/s","2406:da18:1f0:2400:a062:bd83:e90b:4eca","IPv6","SIN","SG","Asia Pacific","Singapore","AS16509","Amazon.com, Inc."
"52.220.111.120","443","true","8 ms","7.18 MB/s","2406:da18:1bc3:9e00:957b:ad4a:37a5:de67","IPv6","SIN","SG","Asia Pacific","Singapore","AS16509","Amazon.com, Inc."
"184.32.79.159","443","true","3 ms","7.11 MB/s","2600:1f14:2f5b:6700:74c9:d488:922e:ad7a","IPv6","PDX","US","North America","Portland","AS16509","Amazon.com, Inc."
"18.183.105.56","443","true","22 ms","6.07 MB/s","221.156.228.221","IPv4","ICN","KR","Asia Pacific","Seoul","AS4766","Korea Telecom"
"99.83.207.43","443","true","4 ms","5.91 MB/s","32.196.134.196","IPv4","IAD","US","North America","Ashburn","AS14618","Amazon.com, Inc."
"95.40.61.115","443","true","3 ms","5.11 MB/s","95.40.61.115","IPv4","HKG","HK","Asia Pacific","Hong Kong","AS16509","Amazon.com, Inc."
"16.162.53.213","443","true","3 ms","4.55 MB/s","175.214.162.251","IPv4","ICN","KR","Asia Pacific","Seoul","AS4766","Korea Telecom"
"52.76.97.123","443","true","8 ms","4.01 MB/s","2406:da18:1979:5f00:9793:b9af:3f31:359","IPv6","SIN","SG","Asia Pacific","Singapore","AS16509","Amazon.com, Inc."
"18.166.242.223","443","true","1 ms","1.89 MB/s","18.166.242.223","IPv4","HKG","HK","Asia Pacific","Hong Kong","AS16509","Amazon.com, Inc."
"18.180.75.128","443","true","7 ms","1.53 MB/s","2406:da14:285:cb00:b7bf:6741:6478:db9b","IPv6","NRT","JP","Asia Pacific","Tokyo","AS16509","Amazon.com, Inc."
"52.194.7.110","443","true","6 ms","0.95 MB/s","52.194.7.110","IPv4","NRT","JP","Asia Pacific","Tokyo","AS16509","Amazon.com, Inc."
"213.170.157.1","443","true","12 ms","0.28 MB/s","185.71.228.0","IPv4","PDX","US","North America","Portland","AS16509","Amazon.com, Inc."
"166.117.43.102","443","true","2 ms","0.20 MB/s","18.208.107.208","IPv4","IAD","US","North America","Ashburn","AS14618","Amazon.com, Inc."
"13.250.131.37","443","true","9 ms","0.04 MB/s","13.250.131.37","IPv4","SIN","SG","Asia Pacific","Singapore","AS16509","Amazon.com, Inc."
"54.255.210.30","443","true","10 ms","0.00 MB/s","2406:da18:889:9700:6d0f:d7e4:1b73:b994","IPv6","SIN","SG","Asia Pacific","Singapore","AS16509","Amazon.com, Inc."
"54.95.94.250","443","true","10 ms","0.00 MB/s","54.95.94.250","IPv4","NRT","JP","Asia Pacific","Tokyo","AS16509","Amazon.com, Inc."
"18.139.162.187","443","true","8 ms","0.00 MB/s","18.139.162.187","IPv4","SIN","SG","Asia Pacific","Singapore","AS16509","Amazon.com, Inc."
"13.57.0.54","443","true","10 ms","0.00 MB/s","13.57.0.54","IPv4","SJC","US","North America","San Jose","AS16509","Amazon.com, Inc."
"3.10.88.36","443","true","10 ms","0.00 MB/s","3.10.88.36","IPv4","LHR","GB","Europe","London","AS16509","Amazon.com, Inc."
